Dataset,Method,cluster_id,cluster_size,dominant_label,dominant_count,dominant_frac,top3,label_entropy,tp,fp,fn,tn,f1,precision,is_dominant_rare,n_rare_types_hit,hit_types
Airway.h5,RAG,0,727,Basal,705,0.9697386519944979,Basal:705;Club:15;Neuroendocrine:4,0.16377974327159778,705,22,2867,3103,0.3279832519190509,0.9697386519944979,False,0,
Airway.h5,RAG,1,616,Basal,572,0.9285714285714286,Basal:572;Club:31;Tuft:6,0.32203730906919725,572,44,3000,3081,0.2731614135625597,0.9285714285714286,False,0,
Airway.h5,RAG,10,244,Club,240,0.9836065573770492,Club:240;Basal:2;Goblet:1,0.1006943074072437,240,4,2232,4221,0.17673048600883653,0.9836065573770492,False,0,
Airway.h5,RAG,100,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,101,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,102,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,103,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,104,1,Tuft,1,1.0,Tuft:1,-1.000088900581841e-12,1,0,136,6560,0.014492753623188404,1.0,True,0,
Airway.h5,RAG,105,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,106,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,107,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,108,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,109,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,11,224,Club,208,0.9285714285714286,Club:208;Basal:16,0.2573186405418316,208,16,2264,4209,0.1543026706231454,0.9285714285714286,False,0,
Airway.h5,RAG,110,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,111,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,112,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,113,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,114,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,115,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,116,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,117,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,118,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,119,1,Neuroendocrine,1,1.0,Neuroendocrine:1,-1.000088900581841e-12,1,0,83,6613,0.023529411764705882,1.0,True,0,
Airway.h5,RAG,12,215,Club,210,0.9767441860465116,Club:210;Basal:5,0.11045304667059809,210,5,2262,4220,0.15630815035355414,0.9767441860465116,False,0,
Airway.h5,RAG,120,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,121,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,122,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,123,1,Goblet,1,1.0,Goblet:1,-1.000088900581841e-12,1,0,62,6634,0.03125,1.0,True,0,
Airway.h5,RAG,124,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,125,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,126,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,127,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,128,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,129,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,13,206,Basal,149,0.7233009708737864,Basal:149;Club:55;Ciliated:2,0.6318683089090121,149,57,3423,3068,0.07887771307570142,0.7233009708737864,False,0,
Airway.h5,RAG,130,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,131,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,132,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,133,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,134,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,135,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,136,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,137,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,138,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,139,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,14,194,Club,194,1.0,Club:194,-1.000088900581841e-12,194,0,2278,4225,0.145536384096024,1.0,False,0,
Airway.h5,RAG,140,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,141,1,Goblet,1,1.0,Goblet:1,-1.000088900581841e-12,1,0,62,6634,0.03125,1.0,True,0,
Airway.h5,RAG,142,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,143,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,144,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,145,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,146,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,147,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,148,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,149,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,15,177,Club,177,1.0,Club:177,-1.000088900581841e-12,177,0,2295,4225,0.13363533408833522,1.0,False,0,
Airway.h5,RAG,150,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,151,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,152,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,153,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,154,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,155,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,156,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,157,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,158,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,159,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,16,126,Basal,124,0.9841269841269841,Basal:124;Tuft:1;Club:1,0.09251274714669576,124,2,3448,3123,0.0670632774472688,0.9841269841269841,False,0,
Airway.h5,RAG,160,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,161,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,162,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,163,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,164,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,165,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,166,1,Tuft,1,1.0,Tuft:1,-1.000088900581841e-12,1,0,136,6560,0.014492753623188404,1.0,True,0,
Airway.h5,RAG,167,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,168,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,169,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,17,98,Tuft,98,1.0,Tuft:98,-1.000088900581841e-12,98,0,39,6560,0.8340425531914893,1.0,True,1,Tuft
Airway.h5,RAG,170,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,171,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,172,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,173,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,174,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,175,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,176,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,177,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,178,1,Ciliated,1,1.0,Ciliated:1,-1.000088900581841e-12,1,0,352,6344,0.005649717514124295,1.0,False,0,
Airway.h5,RAG,179,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,18,65,Goblet,56,0.8615384615384616,Goblet:56;Club:6;Tuft:3,0.4902936027766215,56,9,7,6625,0.8750000000000001,0.8615384615384616,True,1,Goblet
Airway.h5,RAG,180,1,Ciliated,1,1.0,Ciliated:1,-1.000088900581841e-12,1,0,352,6344,0.005649717514124295,1.0,False,0,
Airway.h5,RAG,181,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,182,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,183,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,184,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,185,1,Tuft,1,1.0,Tuft:1,-1.000088900581841e-12,1,0,136,6560,0.014492753623188404,1.0,True,0,
Airway.h5,RAG,186,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,187,1,Ciliated,1,1.0,Ciliated:1,-1.000088900581841e-12,1,0,352,6344,0.005649717514124295,1.0,False,0,
Airway.h5,RAG,188,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,189,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,19,47,Neuroendocrine,47,1.0,Neuroendocrine:47,-1.000088900581841e-12,47,0,37,6613,0.7175572519083969,1.0,True,1,Neuroendocrine
Airway.h5,RAG,190,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,191,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,192,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,193,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,194,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,195,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,196,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,197,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,198,1,Basal,1,1.0,Basal:1,-1.000088900581841e-12,1,0,3571,3125,0.000559753708368318,1.0,False,0,
Airway.h5,RAG,199,1,Club,1,1.0,Club:1,-1.000088900581841e-12,1,0,2471,4225,0.0008087343307723413,1.0,False,0,
Airway.h5,RAG,2,583,Basal,544,0.9331046312178388,Basal:544;Club:35;Tuft:2,0.2747877578671353,544,39,3028,3086,0.2618531889290012,0.9331046312178388,False,0,
Airway.h5,RAG,20,33,Ciliated,33,1.0,Ciliated:33,-1.000088900581841e-12,33,0,320,6344,0.17098445595854922,1.0,False,0,
