Dataset,Method,cluster_id,cluster_size,dominant_label,dominant_count,dominant_frac,top3,label_entropy,tp,fp,fn,tn,f1,precision,is_dominant_rare,n_rare_types_hit,hit_types
Deng.h5,RAG,0,18,midblast,18,1.0,midblast:18,-1.000088900581841e-12,18,0,42,193,0.4615384615384615,1.0,False,0,
Deng.h5,RAG,1,16,lateblast,16,1.0,lateblast:16,-1.000088900581841e-12,16,0,14,223,0.6956521739130436,1.0,False,0,
Deng.h5,RAG,10,7,8cell,7,1.0,8cell:7,-1.000088900581841e-12,7,0,21,225,0.4,1.0,False,0,
Deng.h5,RAG,11,7,4cell,7,1.0,4cell:7,-1.000088900581841e-12,7,0,7,239,0.6666666666666666,1.0,True,1,4cell
Deng.h5,RAG,12,7,late2cell,7,1.0,late2cell:7,-1.000088900581841e-12,7,0,0,246,1.0,1.0,True,1,late2cell
Deng.h5,RAG,13,7,8cell,7,1.0,8cell:7,-1.000088900581841e-12,7,0,21,225,0.4,1.0,False,0,
Deng.h5,RAG,14,7,4cell,7,1.0,4cell:7,-1.000088900581841e-12,7,0,7,239,0.6666666666666666,1.0,True,1,4cell
Deng.h5,RAG,15,6,midblast,6,1.0,midblast:6,-1.000088900581841e-12,6,0,54,193,0.18181818181818182,1.0,False,0,
Deng.h5,RAG,16,6,8cell,6,1.0,8cell:6,-1.000088900581841e-12,6,0,22,225,0.35294117647058826,1.0,False,0,
Deng.h5,RAG,17,6,16cell,6,1.0,16cell:6,-1.000088900581841e-12,6,0,42,205,0.2222222222222222,1.0,False,0,
Deng.h5,RAG,18,6,mid2cell,6,1.0,mid2cell:6,-1.000088900581841e-12,6,0,6,241,0.6666666666666666,1.0,True,1,mid2cell
Deng.h5,RAG,19,6,8cell,6,1.0,8cell:6,-1.000088900581841e-12,6,0,22,225,0.35294117647058826,1.0,False,0,
Deng.h5,RAG,2,15,earlyblast,15,1.0,earlyblast:15,-1.000088900581841e-12,15,0,27,211,0.5263157894736842,1.0,False,0,
Deng.h5,RAG,20,5,16cell,5,1.0,16cell:5,-1.000088900581841e-12,5,0,43,205,0.18867924528301885,1.0,False,0,
Deng.h5,RAG,21,4,16cell,4,1.0,16cell:4,-1.000088900581841e-12,4,0,44,205,0.15384615384615385,1.0,False,0,
Deng.h5,RAG,22,4,mid2cell,4,1.0,mid2cell:4,-1.000088900581841e-12,4,0,8,241,0.5,1.0,True,1,mid2cell
Deng.h5,RAG,23,4,zy,4,1.0,zy:4,-1.000088900581841e-12,4,0,0,249,1.0,1.0,True,1,zy
Deng.h5,RAG,24,3,16cell,3,1.0,16cell:3,-1.000088900581841e-12,3,0,45,205,0.11764705882352941,1.0,False,0,
Deng.h5,RAG,25,3,earlyblast,3,1.0,earlyblast:3,-1.000088900581841e-12,3,0,39,211,0.13333333333333333,1.0,False,0,
Deng.h5,RAG,26,2,16cell,2,1.0,16cell:2,-1.000088900581841e-12,2,0,46,205,0.07999999999999999,1.0,False,0,
Deng.h5,RAG,27,2,16cell,2,1.0,16cell:2,-1.000088900581841e-12,2,0,46,205,0.07999999999999999,1.0,False,0,
