,cell_type,cluster_id
Cell_1,16cell,7
Cell_2,16cell,7
Cell_3,16cell,7
Cell_4,16cell,7
Cell_5,16cell,7
Cell_6,16cell,7
Cell_7,16cell,7
Cell_8,16cell,7
Cell_9,16cell,21
Cell_10,16cell,21
Cell_11,16cell,7
Cell_12,16cell,7
Cell_13,16cell,21
Cell_14,16cell,21
Cell_15,16cell,20
Cell_16,16cell,26
Cell_17,16cell,35
Cell_19,16cell,20
Cell_20,16cell,20
Cell_21,16cell,20
Cell_22,16cell,20
Cell_23,16cell,24
Cell_24,16cell,24
Cell_25,16cell,24
Cell_26,16cell,17
Cell_27,16cell,4
Cell_28,16cell,17
Cell_29,16cell,4
Cell_30,16cell,17
Cell_31,16cell,4
Cell_32,16cell,4
Cell_33,16cell,26
Cell_34,16cell,4
Cell_35,16cell,17
Cell_36,16cell,17
Cell_37,16cell,17
Cell_38,16cell,4
Cell_39,16cell,4
Cell_40,16cell,27
Cell_41,16cell,36
Cell_42,16cell,4
Cell_43,16cell,4
Cell_44,16cell,4
Cell_45,16cell,4
Cell_47,16cell,4
Cell_48,16cell,4
Cell_49,16cell,4
Cell_50,16cell,27
Cell_51,4cell,14
Cell_52,4cell,14
Cell_53,4cell,14
Cell_54,4cell,11
Cell_55,4cell,11
Cell_56,4cell,11
Cell_57,4cell,11
Cell_58,4cell,11
Cell_59,4cell,11
Cell_60,4cell,11
Cell_61,4cell,14
Cell_62,4cell,14
Cell_63,4cell,14
Cell_64,4cell,14
Cell_65,8cell,10
Cell_66,8cell,10
Cell_67,8cell,10
Cell_68,8cell,10
Cell_69,8cell,10
Cell_70,8cell,10
Cell_71,8cell,10
Cell_72,8cell,19
Cell_73,8cell,19
Cell_74,8cell,19
Cell_75,8cell,19
Cell_76,8cell,19
Cell_77,8cell,19
Cell_78,8cell,37
Cell_79,8cell,13
Cell_80,8cell,13
Cell_81,8cell,13
Cell_82,8cell,13
Cell_83,8cell,13
Cell_84,8cell,13
Cell_85,8cell,13
Cell_86,8cell,16
Cell_87,8cell,16
Cell_88,8cell,38
Cell_89,8cell,16
Cell_90,8cell,16
Cell_91,8cell,16
Cell_92,8cell,16
Cell_93,early2cell,9
Cell_94,early2cell,9
Cell_95,early2cell,9
Cell_96,early2cell,9
Cell_97,early2cell,9
Cell_98,early2cell,9
Cell_99,early2cell,9
Cell_100,early2cell,9
Cell_101,earlyblast,2
Cell_102,earlyblast,25
Cell_103,earlyblast,2
Cell_104,earlyblast,28
Cell_105,earlyblast,3
Cell_106,earlyblast,3
Cell_107,earlyblast,3
Cell_108,earlyblast,2
Cell_109,earlyblast,3
Cell_110,earlyblast,2
Cell_111,earlyblast,2
Cell_112,earlyblast,39
Cell_113,earlyblast,25
Cell_114,earlyblast,2
Cell_115,earlyblast,2
Cell_116,earlyblast,29
Cell_117,earlyblast,40
Cell_118,earlyblast,28
Cell_119,earlyblast,41
Cell_120,earlyblast,2
Cell_121,earlyblast,3
Cell_122,earlyblast,3
Cell_123,earlyblast,3
Cell_124,earlyblast,29
Cell_125,earlyblast,3
Cell_126,earlyblast,30
Cell_127,earlyblast,30
Cell_128,earlyblast,2
Cell_129,earlyblast,3
Cell_130,earlyblast,3
Cell_131,earlyblast,2
Cell_132,earlyblast,3
Cell_133,earlyblast,2
Cell_134,earlyblast,3
Cell_135,earlyblast,3
Cell_136,earlyblast,3
Cell_137,earlyblast,2
Cell_138,earlyblast,2
Cell_139,earlyblast,2
Cell_141,earlyblast,3
Cell_142,earlyblast,25
Cell_143,earlyblast,2
Cell_145,late2cell,12
Cell_147,late2cell,12
Cell_148,late2cell,12
Cell_149,late2cell,12
Cell_150,late2cell,12
Cell_151,late2cell,12
Cell_152,late2cell,12
Cell_154,lateblast,8
Cell_155,lateblast,8
Cell_156,lateblast,1
Cell_157,lateblast,1
Cell_158,lateblast,1
Cell_159,lateblast,1
Cell_160,lateblast,1
Cell_161,lateblast,1
Cell_162,lateblast,1
Cell_163,lateblast,1
Cell_164,lateblast,31
Cell_165,lateblast,1
Cell_166,lateblast,31
Cell_167,lateblast,1
Cell_168,lateblast,32
Cell_169,lateblast,1
Cell_170,lateblast,8
Cell_171,lateblast,42
Cell_172,lateblast,1
Cell_173,lateblast,8
Cell_174,lateblast,8
Cell_175,lateblast,8
Cell_176,lateblast,8
Cell_177,lateblast,32
Cell_178,lateblast,1
Cell_179,lateblast,43
Cell_180,lateblast,8
Cell_181,lateblast,1
Cell_182,lateblast,1
Cell_183,lateblast,1
Cell_184,mid2cell,22
Cell_185,mid2cell,22
Cell_186,mid2cell,33
Cell_187,mid2cell,33
Cell_188,mid2cell,22
Cell_189,mid2cell,22
Cell_190,mid2cell,18
Cell_191,mid2cell,18
Cell_192,mid2cell,18
Cell_193,mid2cell,18
Cell_194,mid2cell,18
Cell_195,mid2cell,18
Cell_196,midblast,44
Cell_197,midblast,6
Cell_198,midblast,5
Cell_199,midblast,45
Cell_200,midblast,0
Cell_201,midblast,46
Cell_202,midblast,6
Cell_203,midblast,5
Cell_204,midblast,0
Cell_205,midblast,15
Cell_206,midblast,0
Cell_207,midblast,5
Cell_208,midblast,0
Cell_209,midblast,47
Cell_210,midblast,0
Cell_211,midblast,0
Cell_212,midblast,15
Cell_213,midblast,5
Cell_214,midblast,0
Cell_215,midblast,0
Cell_216,midblast,0
Cell_217,midblast,0
Cell_218,midblast,5
Cell_219,midblast,48
Cell_220,midblast,49
Cell_221,midblast,6
Cell_222,midblast,0
Cell_223,midblast,50
Cell_224,midblast,0
Cell_225,midblast,0
Cell_226,midblast,6
Cell_227,midblast,0
Cell_228,midblast,5
Cell_229,midblast,0
Cell_230,midblast,0
Cell_231,midblast,5
Cell_232,midblast,5
Cell_233,midblast,5
Cell_234,midblast,5
Cell_235,midblast,5
Cell_236,midblast,51
Cell_237,midblast,0
Cell_238,midblast,52
Cell_239,midblast,15
Cell_240,midblast,5
Cell_241,midblast,6
Cell_242,midblast,0
Cell_243,midblast,34
Cell_244,midblast,5
Cell_245,midblast,53
Cell_246,midblast,15
Cell_247,midblast,6
Cell_248,midblast,15
Cell_249,midblast,6
Cell_250,midblast,6
Cell_251,midblast,6
Cell_252,midblast,34
Cell_253,midblast,6
Cell_254,midblast,6
Cell_255,midblast,15
Cell_256,zy,23
Cell_257,zy,23
Cell_258,zy,23
Cell_259,zy,23
